Lieu;idmotspip;Type;SousType;Description;AnneeMSI;AnneeMAD;Status;FranceNuc;Andra;EDF;INSC;url;nbPhotos;the_geom;PlaceApproximative;Priority;RecNo;RecNoPere;UpdateTimestamp;longitude;latitude
Soulaines;0;déchets;;CSA - stockage final de déchets dits de faible activité à vie courte;NULL;NULL;Marche;champ_csa_f.htm;CHA2.pdf;;;;6;;0;100;117;NULL;2018-10-12 13:02:05;4.68043458796629;48.3997604736627
Marcoule;108;déchets;;CODOLET-CENTRACO - réduction de volume des déchets et développement de procédés;NULL;NULL;;lang_codo_f.htm;LAR3-7-9-etc.pdf;;;http://www.francenuc.org/fr_sites/lang_marc_f.htm;8;;0;100;69;NULL;2018-12-18 15:37:07;4.69809533909782;44.1386397298062
Orsay;0;combustible;;usine-pilote de frittage;NULL;NULL;Arrêt définitif;idfg_orsay_f.htm;IGC41.pdf;;;;0;;0;100;64;NULL;2018-10-12 13:02:05;2.17150742539402;48.6980864890083
Veurey-Voroize;0;combustible;;usine de fabrication de combustibles à l'uranium;NULL;NULL;;rhone_veu_f.htm;RHO10.pdf;;;;1;;1;100;49;NULL;2018-10-12 13:02:05;5.61715797943648;45.2684950364882
Bonneuil sur Marne;0;combustible;;production du combustible;NULL;NULL;Arrêt définitif;idfp_bon_f.htm;;;;;0;;1;100;33;NULL;2018-10-12 13:02:05;2.49212657107618;48.750379185235
La Hague;167;combustible;retraitement;usines de retraitement de combustibles irradiés pour produire le plutonium militaire et civil;NULL;NULL;Marche;bnorm_hague_f.htm;BAN3-12-13.pdf;;;;0;;1;100;73;NULL;2018-12-18 15:42:50;-1.88218;49.67865
Comhurex Pierrelatte;159;combustible;enrichissement;conversion et enrichissement de l'uranium;NULL;NULL;Marche;rhone_tri_f.htm;RHO13-16-43-etc.pdf;;;;2;;0;100;62;NULL;2018-12-18 15:40:09;4.72130720076016;44.336814500979
Romans sur Isère - FBFC;166;combustible;combustible;usines de fabrication de combustible;NULL;NULL;;rhone_rom_f.htm;RHO17.pdf;;;;2;;1;100;37;NULL;2018-12-18 15:41:54;5.07068674486404;45.0453803711334
Comhurex Malvesi;155;combustible;;AREVA NC usine de raffinage et de conversion d'uranium;NULL;NULL;Marche;lang_malv_f.htm;LAR5-12.pdf;;;;5;;1;100;40;NULL;2018-12-18 15:39:37;2.89530604844644;43.2417418160369
Creys-Malville SUPERPHÉNIX;149;centrale;SPX;production d'électricité et de plutonium;NULL;NULL;Arrêt définitif;rhone_crey_f.htm;;creys00.jpg;phenix;http://www.dissident-media.org/infonucleaire/phenix.html;4;;0;60;8;NULL;2018-12-18 15:40:42;5.46391187215265;45.7655224601807
Brennilis;175;centrale;EL;production d'électricité;NULL;NULL;Arrêt définitif;bret_brenn_f.htm;;;monts_d_arree;;3;;0;50;6;NULL;2018-10-26 15:45:55;-3.88059490969883;48.3523416661398
Gravelines;171;centrale;6 x 900 MW;production d'électricité;NULL;NULL;;nord_grav_f.htm;;gravelines00.jpg;gravelines;;6;;0;100;18;NULL;2018-10-26 15:48:51;2.12050875780145;51.0238094759591
Le Tricastin;113;centrale;4 x 900 MW;production d'électricité;NULL;NULL;;rhone_tri_f.htm;;tricastin00.jpg;tricastin;;0;;0;100;4;NULL;2018-10-26 15:56:38;4.73572106079152;44.3313384265488
Bugey;104;centrale;4 x 900 MW;production d'électricité et de plutonium;NULL;NULL;;rhone_bug_f.htm;;bugey00.jpg;bugey;;7;;0;100;9;NULL;2018-10-26 15:56:38;5.26653818802291;45.8072248013421
Blayais;136;centrale;4 x 900 MW;production d'électricité;NULL;NULL;;aquit_blay_f.htm;;blayais00.jpg;blayais;;6;;0;100;3;NULL;2018-10-26 15:49:15;-0.690812850465903;45.262563241595
Dampierre;132;centrale;4 x 900 MW;production d'électricité;NULL;NULL;;cen_dam_f.htm;;dampierre00.jpg;dampierre;;3;;0;100;2;NULL;2018-10-26 15:46:59;2.49997396805297;47.7250387096602
Cruas-Meysse;134;centrale;4 x 900 MW;production d'électricité;NULL;NULL;;rhone_cru_f.htm;;cruas-meysse00.jpg;cruas;;5;;0;100;16;NULL;2018-10-26 15:45:55;4.7516943051636;44.6214395114098
Chinon;169;centrale;4 x 900 MW;production d'électricité et de plutonium;NULL;NULL;;cen_chinon_f.htm;;chinon00.jpg;chinon;;3;;0;100;7;NULL;2018-10-26 15:45:55;0.179644070275217;47.2272502583534
Paluel;131;centrale;4 x 1300 MW;production d'électricité;NULL;NULL;;hnorm_pal_f.htm;;paluel00.jpg;paluel;;2;;0;100;17;NULL;2018-10-26 15:56:38;0.631919182566307;49.8690826872633
Cattenom;105;centrale;4 x 1300 MW;production d'électricité;NULL;NULL;;lorr_catt_f.htm;;cattenom00.jpg;cattenom;;3;;0;100;5;NULL;2018-10-26 15:45:55;6.20986750900349;49.4021312531677
Saint Laurent des Eaux;174;centrale;2 x 900 MW;production d'électricité et de plutonium;NULL;NULL;;cen_sain_f.htm;;saint-laurent-des-eaux00.jpg;saint-laurent;;4;;0;100;11;NULL;2018-10-26 15:56:38;1.5932425934032;47.719143895972
Fessenheim;161;centrale;2 x 900 MW;production d'électricité;NULL;NULL;;als_fess_f.htm;;fessenheim00.jpg;fessenheim;;2;;0;100;19;NULL;2018-10-26 15:57:20;7.55997084102097;47.9086430613095
Civaux;109;centrale;2 x 1550 MW;production d'électricité;NULL;NULL;;poit_civ_f.htm;;civaux00.jpg;civaux;;5;;0;100;10;NULL;2018-10-26 15:45:55;0.667699870373724;46.4606295837955
Chooz;137;centrale;2 x 1450 MW;production d'électricité;NULL;NULL;;champ_chooz_f.htm;;chooz00.jpg;chooz;;1;;0;100;13;NULL;2018-10-26 15:45:55;4.7862924116337;50.0822545920945
Flamanville;170;centrale;2 x 1300 MW + EPR;production d'électricité;NULL;NULL;;bnorm_flam_f.htm;;flamanville00.jpg;flamanville;;0;;0;100;12;NULL;2018-10-26 15:48:16;-1.88326643549198;49.5480120274562
Saint-Alban-du-Rhône;173;centrale;2 x 1300 MW;production d'électricité;NULL;NULL;;rhone_alb_f.htm;;saint-alban00.jpg;saint-alban;;5;;0;100;14;NULL;2018-10-26 15:46:31;4.75007719530291;45.4024100171543
Penly;111;centrale;2 x 1300 MW;production d'électricité;NULL;NULL;;hnorm_penly_f.htm;;penly00.jpg.html;penly;http://www.mediapart.fr/journal/france/250611/rares-photos-dune-fuite-dans-une-centrale-nucleaire;2;;0;100;20;NULL;2018-10-26 15:56:38;1.16487261680204;49.9873585361577
Nogent-sur-Seine;172;centrale;2 x 1300 MW;production d'électricité;NULL;NULL;;champ_nog_f.htm;;nogent00.jpg;nogent;;4;;0;100;21;NULL;2018-10-26 15:56:38;3.52143396227238;48.5231847484729
Golfech;110;centrale;2 x 1300 MW;production d'électricité;NULL;NULL;;midi_gol_f.htm;;golfech00.jpg;golfech;;4;;0;100;15;NULL;2018-10-26 15:48:30;0.839084099704749;44.1012875533318
Belleville-sur-Loire;168;centrale;2 x 1300 MW;production d'électricité;NULL;NULL;;cen_bell_f.htm;;belleville00.jpg;belleville;;3;;0;100;1;NULL;2018-10-26 15:45:55;2.86895170479602;47.5166515694487
Saint Martin la Porte;0;autre;;usine de production de béryllium et de thorium;NULL;NULL;Arrêt définitif;rhone_calyp_f.htm;;;;;0;;1;20;30;NULL;2018-10-12 13:02:05;6.44808600000002;45.240058
Frenay - La Praz Tepp;0;autre;;usine de fabrication de béryllium et de carbure d'uranium. et décharge;NULL;NULL;Arrêt définitif;rhone_praz_f.htm;;;;;0;;1;20;28;NULL;2018-10-12 13:02:05;6.62778394202846;45.1949354835316
Sable;0;autre;stérilisateur;Ionisos;NULL;NULL;Marche;;;;;http://www.ionisos.com/fr/sable.html;0;;0;100;112;NULL;2018-10-12 13:02:05;-0.300705918121111;47.8254496360651
Pouzauges;0;autre;irradiateur;Ionisos;NULL;NULL;Marche;;;;;http://www.ionisos.fr/fr/pouzauges.html;1;;0;100;110;NULL;2018-10-12 13:02:05;-0.842999036557941;46.7710744629342
Marseille;0;autre;irradiateur;irradiateur Isotron ex Gammaster (aliments et instruments chirurgicaux);NULL;NULL;Marche;;;;;http://resosol.org/Gazette/1989/94_95_22.html;1;;1;100;109;NULL;2018-10-12 13:02:05;5.38351175963633;43.3355544285898
Limeil Brévannes;0;militaire;irradiateur;Sodern développe et fabrique des sources neutroniques à usages civil et militaire;NULL;NULL;Marche;idfp_sod_f.htm;;;;;0;;1;20;188;26;2018-10-12 13:02:05;2.4863938827865;48.7491115958047
Chaumesnil;0;autre;irradiateur;Ionisos;NULL;NULL;Marche;;;;;http://www.ionisos.com/fr/chaumesnil.html;0;;0;100;108;NULL;2018-10-12 13:02:05;4.61495291657722;48.3628203737946
Dagneux;0;autre;irradiateur;Ionisos;NULL;NULL;Marche;;;;;http://www.ionisos.com/fr/dagneux.html;0;;1;100;111;NULL;2018-10-12 13:02:05;5.05972904699661;45.841111784191
Valognes;0;autre;gare;gare ferroviaire de La Hague;NULL;NULL;Marche;;;;;;0;;0;100;119;NULL;2018-10-12 13:02:05;-1.49903;49.50889
Varennes-Vauzelles;0;militaire;déchets;DGA - dépôt de matériel aéronautique;NULL;NULL;Marche;bourg_varen_f.htm;;;;;0;;0;100;204;NULL;2018-10-12 13:02:05;3.13797;47.081812
Bugey 4;0;réacteur;900 MW;palier CPO;1979;NULL;Marche;rhone_bug_f.htm;;;70;;0;;1;100;195;9;2018-10-12 13:02:05;5.26653818802291;45.8072248013421
Bugey 5;0;réacteur;900 MW;palier CPO;1979;NULL;Marche;rhone_bug_f.htm;;;71;;0;;1;100;196;9;2018-10-12 13:02:05;5.26653818802291;45.8072248013421
Chinon B1;0;réacteur;900 MW;palier CP1;1982;NULL;Marche;cen_chinon_f.htm;;;61;;0;;1;100;146;7;2018-10-12 13:02:05;0.179644070275217;47.2272502583534
Chinon B2;0;réacteur;900 MW;palier CP1;1983;NULL;Marche;cen_chinon_f.htm;;;62;;0;;1;100;147;7;2018-10-12 13:02:05;0.179644070275217;47.2272502583534
Chinon B3;0;réacteur;900 MW;palier CP1;1986;NULL;Marche;cen_chinon_f.htm;;;63;;0;;1;100;148;7;2018-10-12 13:02:05;0.179644070275217;47.2272502583534
Chinon B4;0;réacteur;900 MW;palier CP1;1987;NULL;Marche;cen_chinon_f.htm;;;64;;0;;1;100;149;7;2018-10-12 13:02:05;0.179644070275217;47.2272502583534
Cruas-Meysse;0;réacteur;900 MW;palier CP2;1983;NULL;Marche;;;;96;;0;;1;100;167;16;2018-10-12 13:02:05;4.7516943051636;44.6214395114098
Cruas-Meysse;0;réacteur;900 MW;palier CP2;1984;NULL;Marche;;;;97;;0;;1;100;168;16;2018-10-12 13:02:05;4.7516943051636;44.6214395114098
Cruas-Meysse;0;réacteur;900 MW;palier CP2;1984;NULL;Marche;;;;98;;0;;1;100;169;16;2018-10-12 13:02:05;4.7516943051636;44.6214395114098
Cruas-Meysse;0;réacteur;900 MW;palier CP2;1984;NULL;Marche;;;;99;;0;;1;100;170;16;2018-10-12 13:02:05;4.7516943051636;44.6214395114098
Dampierre 1;0;réacteur;900 MW;palier CP1;1980;NULL;Marche;;;;74;;0;;1;100;127;1;2018-10-12 13:02:05;2.49997396805297;47.7250387096602
Dampierre 2;0;réacteur;900 MW;palier CP1;1980;NULL;Marche;;;;75;;0;;1;100;128;1;2018-10-12 13:02:05;2.49997396805297;47.7250387096602
Dampierre 3;0;réacteur;900 MW;palier CP1;1981;NULL;Marche;;;;76;;0;;1;100;129;1;2018-10-12 13:02:05;2.49997396805297;47.7250387096602
Dampierre 4;0;réacteur;900 MW;palier CP1;1981;NULL;Marche;;;;77;;0;;1;100;130;1;2018-10-12 13:02:05;2.49997396805297;47.7250387096602
Fessenheim 1;0;réacteur;900 MW;palier CPO;1977;NULL;Marche;;;;72;;0;;1;100;181;19;2018-10-12 13:02:05;7.55997084102097;47.9086430613095
Fessenheim 2;0;réacteur;900 MW;palier CPO;1977;NULL;Marche;;;;73;;0;;1;100;182;19;2018-10-12 13:02:05;7.55997084102097;47.9086430613095
Gravelines B1;0;réacteur;900 MW;palier CP1;1980;NULL;Marche;;;;78;;0;;1;100;175;18;2018-10-12 13:02:05;2.12050875780145;51.0238094759591
Gravelines B2;0;réacteur;900 MW;palier CP1;1980;NULL;Marche;;;;79;;0;;1;100;176;18;2018-10-12 13:02:05;2.12050875780145;51.0238094759591
Gravelines B3;0;réacteur;900 MW;palier CP1;1980;NULL;Marche;;;;80;;0;;1;100;177;18;2018-10-12 13:02:05;2.12050875780145;51.0238094759591
Gravelines B4;0;réacteur;900 MW;palier CP1;1981;NULL;Marche;;;;81;;0;;1;100;178;18;2018-10-12 13:02:05;2.12050875780145;51.0238094759591
Gravelines C5;0;réacteur;900 MW;palier CP1;1984;NULL;Marche;;;;82;;0;;1;100;179;18;2018-10-12 13:02:05;2.12050875780145;51.0238094759591
Gravelines C6;0;réacteur;900 MW;palier CP1;1985;NULL;Marche;;;;83;;0;;1;100;180;18;2018-10-12 13:02:05;2.12050875780145;51.0238094759591
Le Blayais 1;0;réacteur;900 MW;palier CP1;1981;NULL;Marche;;;;88;;0;;1;100;131;3;2018-10-12 13:02:05;-0.690812850465903;45.262563241595
Le Blayais 2;0;réacteur;900 MW;palier CP1;1982;NULL;Marche;;;;89;;0;;1;100;132;3;2018-10-12 13:02:05;-0.690812850465903;45.262563241595
Le Blayais 3;0;réacteur;900 MW;palier CP1;1983;NULL;Marche;;;;90;;0;;1;100;133;3;2018-10-12 13:02:05;-0.690812850465903;45.262563241595
Le Blayais 4;0;réacteur;900 MW;palier CP1;1983;NULL;Marche;;;;91;;0;;1;100;134;3;2018-10-12 13:02:05;-0.690812850465903;45.262563241595
Saint Laurent des Eaux B1;0;réacteur;900 MW;palier CP2;1981;NULL;Marche;cen_sain_f.htm;;;65;;0;;1;100;155;11;2018-10-12 13:02:05;1.5932425934032;47.719143895972
Saint Laurent des Eaux B2;0;réacteur;900 MW;palier CP2;1981;NULL;Marche;cen_sain_f.htm;;;66;;0;;1;100;156;11;2018-10-12 13:02:05;1.5932425934032;47.719143895972
Tricastin 1;0;réacteur;900 MW;palier CP1;1980;NULL;Marche;rhone_tri_f7.htm;;;84;;0;;1;100;135;4;2018-10-12 13:02:05;4.73572106079152;44.3313384265488
Tricastin 2;0;réacteur;900 MW;palier CP1;1980;NULL;Marche;rhone_tri_f7.htm;;;85;;0;;1;100;136;4;2018-10-12 13:02:05;4.73572106079152;44.3313384265488
Tricastin 3;0;réacteur;900 MW;palier CP1;1980;NULL;Marche;rhone_tri_f7.htm;;;86;;0;;1;100;137;4;2018-10-12 13:02:05;4.73572106079152;44.3313384265488
Tricastin 4;0;réacteur;900 MW;palier CP1;1981;NULL;Marche;rhone_tri_f7.htm;;;87;;0;;1;100;138;4;2018-10-12 13:02:05;4.73572106079152;44.3313384265488
Flamanville 3;0;réacteur;EPR;palier EPR;NULL;NULL;Construction;;;;;;0;;1;100;159;12;2018-10-12 13:02:05;-1.88326643549198;49.5480120274562
Penly 3;0;réacteur;EPR;palier EPR;NULL;NULL;Projet;;;;;;0;;1;100;185;20;2018-10-12 13:02:05;1.16487261680204;49.9873585361577
Superphénix;0;réacteur;SPX;production d'électricité et de plutonium;NULL;NULL;Arrêt définitif;rhone_crey_f.htm;;;60;;0;;0;60;191;8;2018-10-12 13:02:05;5.46391187215265;45.7655224601807
Fontenay-aux-Roses;0;recherche;;CEA - centre de recherche et développement. officiellement civil;NULL;NULL;Marche;idfp_font_f.htm;;;;;0;;0;100;79;NULL;2018-10-12 13:02:05;2.27653515839616;48.7905200083135
Fontenay-aux-Roses;0;recherche;;CEA - centre de recherche et développement. officiellement civil;NULL;NULL;Marche;idfp_font_f.htm;;;;;0;;0;100;124;NULL;2018-10-12 13:02:05;2.27617160183142;48.7898706877657
Saclay;177;recherche;;CEA - recherche fondamentale et appliquée;NULL;NULL;Marche;idfg_sac_f.htm;;;;;0;;0;100;122;NULL;2018-12-18 15:46:34;2.15200302659242;48.7284544583013
Grenoble;192;recherche;;Centre d'Études Nucléaires de Grenoble - recherche théorique et appliquée;NULL;NULL;;rhone_cen_f.htm;;;;http://www.francenuc.org/fr_sites/rhone_ill_f.htm;7;;0;100;76;NULL;2018-12-18 15:35:57;5.69684562805296;45.2037511114213
Caen;0;recherche;;GANIL - laboratoire de recherche fondamentale;NULL;NULL;Marche;bnorm_ganil_f.htm;;;;;0;;0;100;89;NULL;2018-10-12 13:02:05;-0.360423927210273;49.2114467969772
fosse des Casquets;0;déchets;;immersion de déchets belges et britanniques à 100-150 m de profondeur;1952;1963;;;;;;;0;;0;100;205;NULL;2018-10-12 13:02:05;-2.34768;49.87091
Saint Sylvain d'Anjou;0;autre;sous-traitant;CMI. chaudronnerie industrielle. travaille pour le projet EPR;NULL;NULL;;;;;;;0;;0;60;207;NULL;2018-10-12 13:02:05;-0.47961;47.53137
Montreuil-Juigné;0;autre;crayons;tubes pour le gainage des tubes des assemblages combustibles;NULL;NULL;;;;;;;0;;1;20;208;NULL;2018-10-12 13:02:05;-0.6179;47.52939
Morvilliers;0;déchets;centre de stockage;stockage de déchets nucléaires Très Faiblement Radioactifs;2003;NULL;;;;;;http://www.andra.fr/andra-aube/pages/fr/menu4/le-centre-de-stockage-tfa/le-centre-1093.html;3;;0;80;209;NULL;2018-10-12 13:02:05;4.666667;48.373333
Brienne-le-Château;0;militaire;dépôt de munitions;stockage d'obus de 105 mm à l'uranium appauvri. APFSDS-T OFL 105 E2. pour les intimes;NULL;NULL;;;;;;http://www.liberation.fr/societe/0101359931-plus-de-2-000-obus-a-l-uranium-appauvri-testes-en-france;0;;60;100;210;NULL;2018-10-12 13:02:05;4.56688;48.3965
Brienne-le-Château;0;autre;gare;terminal ferrovaire du CSA ;NULL;NULL;;champ_csa_f.htm;;;;http://www.andra.fr/index.php?id=glossaire__1_1&lettre=C;0;;0;80;211;NULL;2018-10-12 13:02:05;4.53196;48.39564
Gâvres;0;militaire;polygône de tir;centre d'essais et de lancements de missiles de Gâvres. utilisé pour le M51;NULL;NULL;Marche;;;;;http://www.voilesetvoiliers.com/croisiere/navigation-shom-les-avis-aux-navigateurs-d-avril-2009;0;;0;100;212;NULL;2018-10-12 13:02:05;-3.32654;47.70065
Biscarrosse;0;militaire;CELM;centre d'essais et de lancements de missiles. utilisé pour le M51;NULL;NULL;Marche;;;;;http://asstech.gdah.free.fr/spip/spip.php?article17;0;;0;100;213;NULL;2018-10-12 13:02:05;-1.16667;44.4
Le Bugey;0;déchets;;ICEDA - projet d'Installation de Conditionnement et d'Entreposage de Déchets Activés;NULL;NULL;;;;;; 	http://www.sortirdunucleaire.org/index.php?menu=actualites&sousmenu=dossiers&soussousmenu=Iceda&page=index;0;;0;100;214;NULL;2018-10-12 13:02:05;5.2665381880229;45.807224801342
